timestamp,molecule,r,basis,run_id,parameters,qubits,gates,shots,sigma,ry_theta_errors,single_qubit_gates,two_qubit_gates,multi_qubit_gates,e_qsci_rbm,e_hf,e_mp2,e_ccsd,e_fci,delta_hf,delta_mp2,delta_ccsd,delta_fci,sampling_dim,post_cr_dim,sub_space_dim,sym_space_dim,hil_space_dim,postcr_sym_ratio,sub_sym_ratio,sym_hil_ratio,cr_iter,cr_batches,cr_samples_per_batch,cr_max_davidson_cycles,pre_time,benchmarking_time,qc_prep_time,sampling_time,cr_time,post_time,total_time,hostname,resource_estimation,counts_dict,final_iteration,Absolute_Error_Ha
,N2_r11,1.2977,,11,,,,,0.0,,,,,-109.11976364673987,-108.84568726053146,-109.22720962529984,-109.10569425972366,-109.12018697733679,0.2740763862084066,0.10744597855996574,0.014069387016206747,0.00042333059691657127,,1681,3225616,19079424,,,0.16906254612298569,,,,,,,,,,,,,,,,50,0.00042333059691657127
,N2_r12,1.3477,,12,,,,,0.0,,,,,-109.09522736504137,-108.80543169759048,-109.20866109784775,-109.07889414180646,-109.09577053188988,0.289795667450889,0.11343373280638502,0.016333223234909156,0.0005431668485158525,,2116,3045025,19079424,,,0.15959732327349085,,,,,,,,,,,,,,,,50,0.0005431668485158525
,N2_r13,1.3977,,13,,,,,0.0,,,,,-109.07003009294479,-108.76365773307077,-109.1903497021903,-109.05093383993257,-109.07041846421157,0.30637235987401823,0.12031960924551299,0.019096253012222064,0.00038837126678004097,,1764,3265249,19079424,,,0.17113981009070295,,,,,,,,,,,,,,,,50,0.00038837126678004097
,N2_r14,1.5691285714285714,,14,,,,,0.0,,,,,-108.98757634767188,-108.62091798653101,-109.14181476553756,-108.95880690498745,-108.98812246190613,0.36665836114086403,0.1542384178656846,0.028769442684421165,0.0005461142342539915,,1444,3452164,19079424,,,0.18093648948731367,,,,,,,,,,,,,,,,50,0.0005461142342539915
,N2_r15,1.7405571428571427,,15,,,,,0.0,,,,,-108.92485180751855,-108.49163073113522,-109.12770055189273,-108.889888976779,-108.92565568652869,0.43322107638333307,0.20284874437417955,0.03496283073954487,0.0008038790101352333,,1089,3136441,19079424,,,0.16438866288625903,,,,,,,,,,,,,,,,50,0.0008038790101352333
,N2_r16,1.9119857142857144,,16,,,,,0.0,,,,,-108.88653529221646,-108.38061203139031,-109.15098512642146,-108.86628932205332,-108.88752721988097,0.505923260826151,0.2644498342049957,0.020245970163145444,0.0009919276645007358,,1600,3381921,19079424,,,0.1772548793925854,,,,,,,,,,,,,,,,50,0.0009919276645007358
,N2_r17,2.083414285714285,,17,,,,,0.0,,,,,-108.86725420109882,-108.28722142799037,-109.20851242533101,-108.89980093073326,-108.86820302308774,0.5800327731084423,0.34125822423219176,0.03254672963444705,0.0009488219889277616,,1600,3530641,19079424,,,0.18504966397308428,,,,,,,,,,,,,,,,50,0.0009488219889277616
,N2_r18,2.254842857142857,,18,,,,,0.0,,,,,-108.8581544507628,-108.20927889253143,-109.2956115949216,-108.94169836398422,-108.85927174888977,0.6488755582313672,0.4374571441587989,0.08354391322141907,0.0011172981269709226,,1369,3640464,19079424,,,0.19080576017389206,,,,,,,,,,,,,,,,50,0.0011172981269709226
,N2_r19,2.4262714285714284,,19,,,,,0.0,,,,,-108.8539723222129,-108.14429748754509,-109.4077155500559,-108.56907803255741,-108.855156562552,0.7096748346678083,0.5537432278430003,0.28489428965548313,0.001184240339100029,,1681,3996001,19079424,,,0.20944033740221926,,,,,,,,,,,,,,,,50,0.001184240339100029
,N2_r20,2.5977,,20,,,,,0.0,,,,,-108.8520000351048,-108.089986471815,-109.54102490074294,-108.56941771301987,-108.85313230651468,0.7620135632897984,0.6890248656381459,0.2825823220849202,0.0011322714098866982,,1521,4210704,19079424,,,0.2206934548967516,,,,,,,,,,,,,,,,50,0.0011322714098866982
